repo_slug,days_trending,first_trending,last_trending,latest_description
iperov/DeepFaceLab,134,2018-12-31,2025-09-01,"DeepFaceLab is the leading software for creating deepfakes."
pypa/pipenv,128,2017-12-07,2024-09-18,"Python Development Workflow for Humans."
comfyanonymous/ComfyUI,128,2023-01-29,2025-12-21,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
PyTorchLightning/pytorch-lightning,127,2020-02-06,2022-06-03,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate."
open-mmlab/mmdetection,126,2018-10-13,2024-09-15,"OpenMMLab Detection Toolbox and Benchmark"
python-telegram-bot/python-telegram-bot,125,2018-10-07,2025-08-17,"We have made you a wrapper you can't refuse"
zulip/zulip,122,2017-06-08,2025-12-06,"Zulip server and web application. Open-source team chat that helps teams stay productive and focused."
mlflow/mlflow,122,2018-10-04,2025-12-17,"The open source developer platform to build AI agents and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform."
fighting41love/funNLP,122,2018-11-07,2023-12-20,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术…"
PrefectHQ/prefect,122,2019-03-25,2025-08-03,"Prefect is a workflow orchestration framework for building resilient data pipelines in Python."
imhuay/Algorithm_Interview_Notes-Chinese,120,2018-08-24,2019-09-19,"2018/2019/校招/春招/秋招/算法/机器学习(Machine Learning)/深度学习(Deep Learning)/自然语言处理(NLP)/C/C++/Python/面试笔记"
ray-project/ray,115,2017-10-17,2025-07-10,"Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
bitcoinbook/bitcoinbook,114,2017-07-23,2021-10-01,"Mastering Bitcoin 2nd Edition - Programming the Open Blockchain"
wagtail/wagtail,112,2019-06-26,2025-09-13,"A Django content management system focused on flexibility and user experience"
gto76/python-cheatsheet,112,2019-02-11,2025-09-12,"Comprehensive Python Cheatsheet"
mindsdb/mindsdb,108,2018-12-14,2025-12-15,"Federated query engine for AI - The only MCP Server you'll ever need"
python-poetry/poetry,105,2019-12-14,2025-08-09,"Python packaging and dependency management made easy"
testerSunshine/12306,103,2019-01-03,2024-09-19,"12306智能刷票，订票"
Chia-Network/chia-blockchain,103,2020-07-20,2023-01-09,"Chia blockchain python implementation (full node, farmer, harvester, timelord, and wallet)"
vllm-project/vllm,102,2023-06-23,2025-12-31,"A high-throughput and memory-efficient inference and serving engine for LLMs"
geekcomputers/Python,101,2017-08-06,2025-08-08,"My Python Examples"
lllyasviel/Fooocus,100,2023-08-15,2025-11-04,"Focus on prompting and generating"
explosion/spaCy,100,2017-03-16,2025-08-29,"💫 Industrial-strength Natural Language Processing (NLP) in Python"
chubin/cheat.sh,100,2017-05-25,2025-09-01,"the only cheat sheet you need"
google/jax,99,2018-11-22,2024-09-15,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more"
Z4nzu/hackingtool,99,2020-07-08,2024-10-20,"ALL IN ONE Hacking Tool For Hackers"
frappe/erpnext,98,2017-02-10,2025-12-05,"Free and Open Source Enterprise Resource Planning (ERP)"
rwightman/pytorch-image-models,96,2019-05-15,2023-01-28,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision Transformer, MixNet, MobileNet-V3/V2, RegNet, DPN, CSPNet, and more"
d2l-ai/d2l-zh,94,2018-12-27,2024-10-16,"《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
TencentARC/GFPGAN,94,2021-06-22,2024-09-09,"GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration."
getsentry/sentry,92,2017-06-30,2025-10-04,"Developer-first error tracking and performance monitoring"
facebookresearch/detectron2,91,2019-12-01,2025-09-20,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks."
apachecn/AiLearning,91,2018-08-17,2021-09-24,"AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP"
satwikkansal/wtfpython,90,2017-09-02,2025-07-14,"What the f*ck Python? 😱"
eriklindernoren/ML-From-Scratch,90,2017-02-26,2025-11-02,"Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
python/mypy,89,2018-09-02,2024-11-07,"Optional static typing for Python"
ansible/awx,88,2017-09-08,2025-04-24,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible. It is one of the upstream projects for Red Hat Ansible Automation Platform."
mingrammer/diagrams,87,2020-02-12,2025-05-05,"🎨 Diagram as Code for prototyping cloud system architectures"
microsoft/qlib,87,2020-10-01,2025-12-27,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
dagster-io/dagster,87,2019-07-17,2025-10-05,"An orchestration platform for the development, production, and observation of data assets."
Shubhamsaboo/awesome-llm-apps,87,2024-05-05,2025-12-31,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
dortania/OpenCore-Legacy-Patcher,84,2021-06-10,2025-12-23,"Experience macOS just like before"
geohot/tinygrad,83,2020-10-22,2023-07-06,"You like pytorch? You like micrograd? You love tinygrad! ❤️"
RasaHQ/rasa,82,2019-07-10,2025-09-02,"💬 Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants"
minimaxir/big-list-of-naughty-strings,81,2015-08-18,2023-11-03,"The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data."
oobabooga/text-generation-webui,80,2023-02-27,2025-10-27,"The definitive Web UI for local AI, with powerful features and easy setup."
matterport/Mask_RCNN,80,2018-04-09,2024-10-18,"Mask R-CNN for object detection and instance segmentation on Keras and TensorFlow"
hwchase17/langchain,80,2022-11-28,2023-07-22,"⚡ Building applications with LLMs through composability ⚡"
